"word","group","F1_previous","dur_previous","F1_last","dur_last","speaker","rel_dur_prcnt","rel_F1_prcnt"
"toda=da","4","790","0.136826147","740","0.080487076","IrMikh","169.997661487914","106.756756756757"
"?osta=da","4","650","0.076822464","665","0.069149329","IrMikh","111.096470654111","97.7443609022556"
"?osta=da","4","800","0.102295505","690","0.086341562","IrMikh","118.477709495225","115.942028985507"
"?osta=da","4","800","0.121532437","685","0.076318765","IrMikh","159.243191369776","116.788321167883"
"taga=da","4","760","0.085903717","630","0.069316673","IrMikh","123.929371220687","120.634920634921"
"taga=da","4","760","0.089417178","640","0.07622663","IrMikh","117.304382995811","118.75"
"taga=da","4","700","0.126672017","740","0.101714567","IrMikh","124.536750965081","94.5945945945946"
"x?da=da","4","780","0.103665949","740","0.060022601","IrMikh","172.711524114058","105.405405405405"
"x?da=da","4","740","0.113914926","640","0.063847754","IrMikh","178.416496843413","115.625"
"x?da=da","4","745","0.14920269","700","0.064719327","IrMikh","230.538074043941","106.428571428571"
"?osta=da","4","780","0.118319063","590","0.084577059","IrMikh","139.894983815883","132.203389830508"
"?osta=da","4","700","0.111468319","700","0.195932363","IrMikh","56.8912237331614","100"
"?osta=da","4","820","0.089124757","670","0.085030443","IrMikh","104.815115452239","122.388059701493"
"??bada","1","870","0.063336709","760","0.102222269","Olga","61.9597956683979","114.473684210526"
"??bada","1","750","0.061501929","710","0.077628792","Olga","79.2256679712342","105.633802816901"
"??bada","1","790","0.072947819","745","0.104145843","Olga","70.0439085216296","106.040268456376"
"??bada","1","810","0.108295186","795","0.106489959","Olga","101.695208653428","101.88679245283"
"??bada","1","760","0.108299388","775","0.125494702","Olga","86.2979761488258","98.0645161290323"
"??bada","1","740","0.110556806","790","0.127030538","Olga","87.0316758006646","93.6708860759494"
"abada","1","840","0.081416214","790","0.100971129","Olga","80.6331619803914","106.329113924051"
"abada","1","820","0.096758006","820","0.11549389","Olga","83.7775972391267","100"
"abada","1","775","0.085459519","815","0.108707619","Olga","78.6141024761107","95.0920245398773"
"abada","1","765","0.091995404","830","0.112827183","Olga","81.5365602099629","92.1686746987952"
"abada","1","775","0.086131466","805","0.116938862","Olga","73.6551258725265","96.2732919254658"
"x?daba","1","810","0.104848075","825","0.095435415","Olga","109.862858562516","98.1818181818182"
"x?daba","1","790","0.099148248","745","0.083940448","Olga","118.117368160818","106.040268456376"
"x?daba","1","810","0.106904034","800","0.084521485","Olga","126.481490475469","101.25"
"todaba","1","780","0.092811778","805","0.082104582","Olga","113.040923830536","96.8944099378882"
"todaba","1","800","0.096876124","800","0.089172552","Olga","108.638949797018","100"
"todaba","1","780","0.100310188","795","0.088533952","Olga","113.301378436151","98.1132075471698"
"?ostaba","1","775","0.084326459","820","0.077687443","Olga","108.545803213011","94.5121951219512"
"?ostaba","1","755","0.094986796","780","0.11140898","Olga","85.259550890781","96.7948717948718"
"?ostaba","1","715","0.082892255","805","0.082946335","Olga","99.9348012181611","88.8198757763975"
"tongada","1","750","0.084640369","740","0.082981778","Olga","101.99874121762","101.351351351351"
"tongada","1","675","0.078821241","745","0.071481031","Olga","110.268752279189","90.6040268456376"
"tongada","1","670","0.089363265","750","0.080311115","Olga","111.271353909107","89.3333333333333"
"??bada","1","750","0.075010978","770","0.085563262","Olga","87.6672724328813","97.4025974025974"
"??bada","1","755","0.072642739","755","0.087578101","Olga","82.9462367538661","100"
"??bada","1","720","0.090137691","765","0.090937255","Olga","99.1207519954281","94.1176470588235"
"x?da=da","2","750","0.102538739","670","0.108472556","Olga","94.5296605714721","111.940298507463"
"x?da=da","2","720","0.104796066","660","0.095210325","Olga","110.067963742378","109.090909090909"
"x?da=da","2","815","0.106573279","660","0.093631708","Olga","113.82178246711","123.484848484848"
"x?da=da","2","805","0.096919126","780","0.094846834","Olga","102.184882628765","103.205128205128"
"x?da=da","2","785","0.089594234","660","0.08539798","Olga","104.913762597195","118.939393939394"
"x?da=da","2","695","0.084469698","695","0.084281757","Olga","100.222991317089","100"
"toda=da","2","645","0.086793837","605","0.06488589","Olga","133.763807508844","106.611570247934"
"toda=da","2","730","0.099411242","645","0.073810228","Olga","134.684913857738","113.178294573643"
"toda=da","2","655","0.082015502","620","0.069464763","Olga","118.067777759495","105.645161290323"
"?osta=da","2","850","0.074467621","790","0.080958275","Olga","91.9827170230591","107.594936708861"
"?osta=da","2","770","0.081085868","745","0.091050439","Olga","89.0559879672848","103.355704697987"
"?osta=da","2","715","0.071675183","700","0.076725801","Olga","93.4173147309339","102.142857142857"
"taga=da","2","865","0.099134624","705","0.090676289","Olga","109.328055981647","122.695035460993"
"taga=da","2","765","0.100581366","720","0.101075469","Olga","99.511154383068","106.25"
"taga=da","2","770","0.085860214","610","0.093092157","Olga","92.2314153704699","126.229508196721"
"taga=da","2","780","0.099298325","660","0.089489789","Olga","110.960508578247","118.181818181818"
"taga=da","2","770","0.087969319","590","0.073985248","Olga","118.901161215274","130.508474576271"
"taga=da","2","770","0.061502009","690","0.067963114","Olga","90.493218130058","111.594202898551"
"taga=da","2","780","0.085179883","590","0.083896092","Olga","101.530215495616","132.203389830508"
